split,seed,model,adr,roc_auc,pr_auc,prevalence
scaffold,0,prior,Hepatobiliary disorders,0.5,0.5207876334192123,0.5206727400140154
scaffold,0,prior,Metabolism and nutrition disorders,0.5,0.6980395043552938,0.6979677645409951
scaffold,0,prior,Product issues,0.5,0.0154165133112501,0.0154169586545199
scaffold,0,prior,Eye disorders,0.5,0.613929579192737,0.613875262789068
scaffold,0,prior,Investigations,0.5,0.8066347687400318,0.8065872459705676
scaffold,0,prior,Musculoskeletal and connective tissue disorders,0.5,0.6987363513679303,0.6986685353889278
scaffold,0,prior,Gastrointestinal disorders,0.5,0.9096159980370506,0.9096005606166784
scaffold,0,prior,Social circumstances,0.5,0.1759146117040853,0.1758934828311142
scaffold,0,prior,Immune system disorders,0.5,0.7176763587289903,0.7175893482831114
scaffold,0,prior,Reproductive system and breast disorders,0.5,0.5095939148570727,0.5094604064470918
scaffold,0,prior,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",0.5,0.2635406698564593,0.263489838822705
scaffold,0,prior,General disorders and administration site conditions,0.5,0.9053956569746044,0.905395935529082
scaffold,0,prior,Endocrine disorders,0.5,0.2264360201202306,0.2263489838822705
scaffold,0,prior,Surgical and medical procedures,0.5,0.1492724819040608,0.1492641906096706
scaffold,0,prior,Vascular disorders,0.5,0.7764642375168691,0.7764540995094604
scaffold,0,prior,Blood and lymphatic system disorders,0.5,0.6202600907864066,0.6201822004204625
scaffold,0,prior,Skin and subcutaneous tissue disorders,0.5,0.9236609005030058,0.9236159775753328
scaffold,0,prior,"Congenital, familial and genetic disorders",0.5,0.1773230278493436,0.1772950245269796
scaffold,0,prior,Infections and infestations,0.5,0.7050521408416146,0.7049754730203224
scaffold,0,prior,"Respiratory, thoracic and mediastinal disorders",0.5,0.7428168322905163,0.7428170988086895
scaffold,0,prior,Psychiatric disorders,0.5,0.7120525088946141,0.7119831814996496
scaffold,0,prior,Renal and urinary disorders,0.5,0.6384639921482027,0.6384022424667134
