seed,model,term,prevalence,roc_auc,pr_auc
0,prior,Abdominal discomfort,0.20253164556962025,0.5,0.20256102107655546
0,prior,Abdominal distension,0.20815752461322082,0.5,0.2081501893388725
0,prior,Abdominal pain,0.580168776371308,0.5,0.5802625423360322
0,prior,Abdominal pain upper,0.18846694796061886,0.5,0.18849123505523874
0,prior,Abnormal dreams,0.10548523206751055,0.5,0.10546374271916292
0,prior,Abscess,0.07805907172995781,0.5,0.07800610494533752
0,prior,Accommodation disorder,0.04922644163150492,0.5,0.04924164040719427
0,prior,Acidosis,0.0450070323488045,0.5,0.044993979748555187
0,prior,Acne,0.09282700421940929,0.5,0.09278512810169554
0,prior,Acute coronary syndrome,0.2348804500703235,0.5,0.2348465425246289
0,prior,Affect lability,0.1617440225035162,0.5,0.16170319418214077
0,prior,Ageusia,0.07946554149085795,0.5,0.0794591902041472
0,prior,Aggression,0.0850914205344585,0.5,0.085090591905534
0,prior,Agitation,0.3340365682137834,0.5,0.3340243219904636
0,prior,Agranulocytosis,0.23347398030942335,0.5,0.23358680381838487
0,prior,Akathisia,0.04852320675105485,0.5,0.048510182039481334
0,prior,Alanine aminotransferase increased,0.19268635724331926,0.5,0.1926720399266219
0,prior,Albuminuria,0.0710267229254571,0.5,0.07104805636247588
0,prior,Alopecia,0.3108298171589311,0.5,0.31084660713646456
0,prior,Altered state of consciousness,0.040787623066104076,0.5,0.04077605799698071
0,prior,Amblyopia,0.07383966244725738,0.5,0.0738451551164279
0,prior,Amenorrhoea,0.08720112517580872,0.5,0.08713390628315178
0,prior,Amnesia,0.14486638537271448,0.5,0.14485118759173354
0,prior,Amylase increased,0.04430379746835443,0.5,0.04427741702836198
0,prior,Anaemia,0.36146272855133615,0.5,0.3615166755289657
0,prior,Anaphylactic shock,0.4388185654008439,0.5,0.4388681490717287
0,prior,Anaphylactoid reaction,0.17651195499296765,0.5,0.17650447349648696
0,prior,Angina pectoris,0.2039381153305204,0.5,0.20392981408380853
0,prior,Angioedema,0.37060478199718705,0.5,0.37056751020037526
0,prior,Angiopathy,0.319971870604782,0.5,0.31998688554362564
