split,seed,model,roc_auc,pr_auc_lift,seconds
scaffold,0,morgan+desc+mlp,0.6364539392196817,0.10169600971238613,8.5
scaffold,0,mol2vec+logreg,0.6270816932942389,0.08165236860075809,1.1
scaffold,0,mol2vec+rf,0.6417949491469023,0.09599212761314878,36.5
scaffold,0,mol2vec+mlp,0.6294362154724873,0.08137037584717934,7.5
scaffold,0,mlp + rf ensemble,0.6623170781396053,0.11607016763417871,34.3
scaffold,0,chemprop,0.6094551676952819,0.07129710749074053,202.3
scaffold,0,chemprop+desc,0.61957080588295,0.0788938430945107,213.9
scaffold,1,morgan+desc+mlp,0.6331620259762721,0.08906166044287625,7.1
scaffold,1,mol2vec+logreg,0.6246456778683931,0.07984351926993402,1.3
scaffold,1,mol2vec+rf,0.6419966664340554,0.10027888855191774,50.6
scaffold,1,mol2vec+mlp,0.6238058566696141,0.08058899492828679,6.2
scaffold,1,mlp + rf ensemble,0.656982650426759,0.10904397606488433,38.3
scaffold,1,chemprop,0.6191316370115172,0.06779259315968847,225.9
scaffold,1,chemprop+desc,0.6385969654925643,0.08797781709648261,207.7
scaffold,2,morgan+desc+mlp,0.6364618672857859,0.09388226994472772,6.0
scaffold,2,mol2vec+logreg,0.6261875892557742,0.0777928692052118,1.0
scaffold,2,mol2vec+rf,0.6469757437696848,0.09818982782753084,37.4
scaffold,2,mol2vec+mlp,0.6289196237058969,0.07949094074165677,6.6
scaffold,2,mlp + rf ensemble,0.6612505603904067,0.11003286656211486,36.2
scaffold,2,chemprop,0.6276567857211448,0.07914271159224694,200.5
scaffold,2,chemprop+desc,0.6398561468472844,0.087217856638172,187.4
