split,seed,model,roc_auc,pr_auc_lift,seconds
scaffold,0,prior,0.5,0.0,0.2
scaffold,0,size+logreg,0.5348894786025725,0.0200520915216605,0.5
scaffold,0,knn5 tanimoto,0.6028406167719653,0.057853763964527,3.0
scaffold,0,morgan+logreg,0.5848842084763664,0.0630544203380509,56.9
scaffold,0,morgan+rf,0.6419921559709125,0.1021771429881207,61.9
scaffold,0,desc+rf,0.6356912537443591,0.0986223251872709,49.1
scaffold,0,morgan+desc+rf,0.6425502106450346,0.1016419996342753,37.6
scaffold,0,morgan+desc+lgbm,0.6275314415860995,0.0939984377729151,39.2
scaffold,1,prior,0.5,0.0,0.1
scaffold,1,size+logreg,0.5328388019291451,0.0182674422781827,0.3
scaffold,1,knn5 tanimoto,0.6068123951609251,0.061383303489317,1.6
scaffold,1,morgan+logreg,0.5972769106694256,0.0715985103786352,58.6
scaffold,1,morgan+rf,0.6502123482081816,0.1101841070587117,35.8
scaffold,1,desc+rf,0.6481073919372747,0.1069249293652597,35.7
scaffold,1,morgan+desc+rf,0.6516173830565485,0.1089702532436118,33.5
scaffold,1,morgan+desc+lgbm,0.6430474674276879,0.104427152930157,35.8
scaffold,2,prior,0.5,0.0,0.1
scaffold,2,size+logreg,0.5295699506739381,0.0182006344495329,0.3
scaffold,2,knn5 tanimoto,0.6034820506101164,0.0592507439695588,1.5
scaffold,2,morgan+logreg,0.5886638680382634,0.0642956848882234,50.3
scaffold,2,morgan+rf,0.6433634484023552,0.1056058939021982,35.4
scaffold,2,desc+rf,0.641200107665063,0.1022893479977913,44.6
scaffold,2,morgan+desc+rf,0.6493638635179333,0.1072961586993144,39.9
scaffold,2,morgan+desc+lgbm,0.6367009814733455,0.0985159650740856,43.9
random,0,prior,0.5,0.0,0.1
random,0,size+logreg,0.5500349906152787,0.0190068252086704,0.3
random,0,knn5 tanimoto,0.6336307824679006,0.0781849773251014,1.6
random,0,morgan+logreg,0.6310044802041624,0.0910501486534532,50.8
random,0,morgan+rf,0.6832051145204008,0.1318275872468662,35.9
random,0,desc+rf,0.6766122442367432,0.1273616597014305,35.6
random,0,morgan+desc+rf,0.6833687017231124,0.1296738458333058,34.2
random,0,morgan+desc+lgbm,0.6730638541247723,0.1237868982111684,36.0
random,1,prior,0.5,0.0,0.1
random,1,size+logreg,0.5484735060155044,0.0177727034800338,0.3
random,1,knn5 tanimoto,0.6375714611951474,0.0839154697709015,1.6
random,1,morgan+logreg,0.628066887585085,0.0875638772058212,55.3
random,1,morgan+rf,0.6831970925853628,0.1306266360263362,37.0
random,1,desc+rf,0.6801405879647698,0.1283108748485791,35.7
random,1,morgan+desc+rf,0.6874724653992677,0.1327831747538147,34.7
random,1,morgan+desc+lgbm,0.6731699006251145,0.1251257819886204,36.3
random,2,prior,0.5,0.0,0.1
random,2,size+logreg,0.5519947430533144,0.0188105838962535,0.3
random,2,knn5 tanimoto,0.6383284739066241,0.08227636247595,1.6
random,2,morgan+logreg,0.635619532828698,0.0956026594355523,51.3
random,2,morgan+rf,0.6867093645434207,0.1342873462335786,33.7
random,2,desc+rf,0.6792556324983465,0.1273396158801965,41.2
random,2,morgan+desc+rf,0.6855464595515668,0.1325509652233824,35.0
random,2,morgan+desc+lgbm,0.6771570734301501,0.1274356376097598,37.7
scaffold,0,morgan+desc+rf-multi,0.6469798300526634,0.10420914053128062,9.3
scaffold,1,morgan+desc+rf-multi,0.6552002652452414,0.1122296101832343,9.6
scaffold,2,morgan+desc+rf-multi,0.649126781475331,0.10796527030000831,9.7
random,0,morgan+desc+rf-multi,0.6819982229000325,0.13124222084766426,9.2
random,1,morgan+desc+rf-multi,0.6908883394749128,0.13440405352637178,9.4
random,2,morgan+desc+rf-multi,0.687560373985969,0.1338004239769121,9.8
