split,seed,model,adr,roc_auc,pr_auc,prevalence
scaffold,0,count-only,Hepatobiliary disorders,0.6536083158296941,0.664730559497588,0.5206727400140154
scaffold,0,count-only,Metabolism and nutrition disorders,0.6248712551663709,0.7842868627950582,0.6979677645409951
scaffold,0,count-only,Product issues,0.6224574428947374,0.06354444044140803,0.015416958654519973
scaffold,0,count-only,Eye disorders,0.6280209767612994,0.7235809432206948,0.613875262789068
scaffold,0,count-only,Investigations,0.6631123525633615,0.8852681435036489,0.8065872459705676
scaffold,0,count-only,Musculoskeletal and connective tissue disorders,0.6412108390559393,0.8027705887492452,0.6986685353889278
scaffold,0,count-only,Gastrointestinal disorders,0.726298058806565,0.9586228081575164,0.9096005606166784
scaffold,0,count-only,Social circumstances,0.6030801210284336,0.274580876358897,0.17589348283111422
scaffold,0,count-only,Immune system disorders,0.5987913964305795,0.7827709423466811,0.7175893482831114
scaffold,0,count-only,Reproductive system and breast disorders,0.6669559553572283,0.6764346980937159,0.5094604064470918
scaffold,0,count-only,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",0.5814317385181751,0.3581101268357664,0.263489838822705
scaffold,0,count-only,General disorders and administration site conditions,0.6616867697396104,0.9476751481127217,0.905395935529082
scaffold,0,count-only,Endocrine disorders,0.6009697650374864,0.3270943398545657,0.2263489838822705
scaffold,0,count-only,Surgical and medical procedures,0.6103625957809798,0.221537236105069,0.14926419060967064
scaffold,0,count-only,Vascular disorders,0.6254155291256006,0.8509829187586172,0.7764540995094604
scaffold,0,count-only,Blood and lymphatic system disorders,0.6257030302487074,0.717786985865563,0.6201822004204625
scaffold,0,count-only,Skin and subcutaneous tissue disorders,0.6546994330615901,0.9568028048561695,0.9236159775753329
scaffold,0,count-only,"Congenital, familial and genetic disorders",0.581019495849402,0.2505135375657603,0.17729502452697968
scaffold,0,count-only,Infections and infestations,0.6096660458155341,0.783470728198465,0.7049754730203224
scaffold,0,count-only,"Respiratory, thoracic and mediastinal disorders",0.6365069907208385,0.8243740915165134,0.7428170988086895
